note,pitch,duration,chord,bar,mapped voice,cost,category
0,58,1/2,0,1,0,n/a,match
1,58,1/2,1,1 1/2,0,0,repetition
2,60,1/8,2,2,0,n/a,match
3,57,1/16,3,2 1/8,0,n/a,ornamentation
4,58,1/16,4,2 3/16,0,n/a,ornamentation
5,60,1/16,5,2 1/4,0,n/a,ornamentation
6,57,1/16,6,2 5/16,0,n/a,ornamentation
7,58,1/16,7,2 3/8,0,n/a,ornamentation
8,60,1/16,8,2 7/16,0,n/a,ornamentation
9,62,1/8,9,2 1/2,0,n/a,match
10,60,1/16,10,2 5/8,0,n/a,ornamentation
11,58,1/16,11,2 11/16,0,n/a,ornamentation
12,57,1/16,12,2 3/4,0,n/a,ornamentation
13,58,1/16,13,2 13/16,0,n/a,ornamentation
14,60,1/16,14,2 7/8,0,n/a,ornamentation
15,62,1/16,15,2 15/16,0,n/a,ornamentation
16,51,1/8,16,3,1,n/a,match
17,63,1/8,16,3,0,n/a,match
18,53,1/16,17,3 1/8,0,n/a,ornamentation
19,55,1/16,18,3 3/16,0,n/a,ornamentation
20,57,1/16,19,3 1/4,0,n/a,ornamentation
21,58,1/16,20,3 5/16,0,n/a,ornamentation
22,60,1/16,21,3 3/8,0,n/a,ornamentation
23,62,1/16,22,3 7/16,0,n/a,ornamentation
24,51,1/8,23,3 1/2,1,0,repetition
25,63,1/8,23,3 1/2,0,n/a,match
26,62,1/8,24,3 5/8,0,n/a,ornamentation
27,60,1/8,25,3 3/4,0,n/a,ornamentation
28,63,1/8,26,3 7/8,0,n/a,ornamentation
29,46,1/8,27,4,2,n/a,match
30,53,1/8,27,4,1,n/a,match
31,62,1/8,27,4,0,n/a,match
32,50,1/16,28,4 1/8,1,n/a,ornamentation
33,51,1/16,29,4 3/16,1,n/a,ornamentation
34,53,1/16,30,4 1/4,1,n/a,ornamentation
35,50,1/16,31,4 5/16,1,n/a,ornamentation
36,51,1/16,32,4 3/8,1,n/a,ornamentation
37,53,1/16,33,4 7/16,1,n/a,ornamentation
38,46,1/8,34,4 1/2,2,0,repetition
39,55,1/8,34,4 1/2,1,n/a,match
40,62,1/8,34,4 1/2,0,0,repetition
41,51,1/16,35,4 5/8,1,n/a,ornamentation
42,53,1/16,36,4 11/16,1,n/a,ornamentation
43,55,1/16,37,4 3/4,1,n/a,ornamentation
44,51,1/16,38,4 13/16,1,n/a,ornamentation
45,53,1/16,39,4 7/8,1,n/a,ornamentation
46,55,1/16,40,4 15/16,1,n/a,ornamentation
47,48,1/4,41,5,2,n/a,match
48,56,1/4,41,5,1,n/a,match
49,60,1/4,42,5 1/4,0,n/a,match
50,50,1/8,43,5 1/2,2,n/a,match
51,56,1/8,43,5 1/2,1,n/a,match
52,65,1/8,43,5 1/2,0,n/a,match
53,46,1/8,44,5 5/8,2,n/a,ornamentation
54,48,1/8,45,5 3/4,2,n/a,ornamentation
55,50,1/8,46,5 7/8,2,n/a,ornamentation
56,39,3/16,47,6,3,n/a,match
57,51,3/16,47,6,2,n/a,match
58,55,3/16,47,6,1,n/a,match
59,67,3/16,47,6,0,n/a,match
60,65,1/16,48,6 3/16,0,n/a,ornamentation
61,63,1/16,49,6 1/4,0,n/a,ornamentation
62,65,1/16,50,6 5/16,0,n/a,ornamentation
63,67,1/16,51,6 3/8,0,n/a,ornamentation
64,68,1/16,52,6 7/16,0,n/a,ornamentation
65,39,1/8,53,6 1/2,3,0,repetition
66,51,1/8,53,6 1/2,2,n/a,match
67,55,1/8,53,6 1/2,1,0,repetition
68,67,1/8,53,6 1/2,0,0,repetition
69,65,1/8,54,6 5/8,0,n/a,ornamentation
70,39,1/4,55,6 3/4,3,0,repetition
71,51,1/4,55,6 3/4,2,0,repetition
72,55,1/4,55,6 3/4,1,0,repetition
73,67,1/4,55,6 3/4,0,0,repetition
74,41,3/8,56,7,3,n/a,match
75,50,3/8,56,7,2,n/a,match
76,65,3/8,56,7,0,n/a,match
77,63,1/8,57,7 3/8,0,n/a,match
78,43,1/8,58,7 1/2,3,n/a,match
79,55,1/8,58,7 1/2,1,n/a,match
80,62,1/8,58,7 1/2,0,n/a,match
81,60,1/8,59,7 5/8,0,n/a,match
82,50,1/4,60,7 3/4,2,n/a,match
83,58,1/4,60,7 3/4,0,n/a,match
84,44,1/8,61,8,3,n/a,match
85,50,1/8,61,8,2,0,repetition
86,55,1/8,61,8,1,0,repetition
87,60,1/8,61,8,0,n/a,match
88,53,1/16,62,8 1/8,1,n/a,ornamentation
89,55,1/16,63,8 3/16,1,n/a,ornamentation
90,56,1/16,64,8 1/4,1,1,adaptation
91,55,1/16,65,8 5/16,1,n/a,ornamentation
92,53,1/16,66,8 3/8,1,0,repetition
93,51,1/16,67,8 7/16,1,n/a,ornamentation
94,44,1/8,68,8 1/2,3,n/a,match
95,48,1/8,68,8 1/2,2,n/a,match
96,53,1/8,68,8 1/2,1,n/a,match
97,60,1/8,68,8 1/2,0,0,repetition
98,55,1/8,69,8 5/8,1,n/a,ornamentation
99,44,1/8,70,8 3/4,3,0,repetition
100,55,1/8,70,8 3/4,1,2,adaptation
101,53,1/8,71,8 7/8,1,n/a,ornamentation
102,43,1/8,72,9,3,n/a,match
103,51,1/8,72,9,2,n/a,match
104,55,1/8,72,9,1,n/a,match
105,58,1/8,72,9,0,n/a,match
106,50,1/8,73,9 1/8,3,n/a,ornamentation
107,48,1/8,74,9 1/4,3,n/a,ornamentation
108,46,1/8,75,9 3/8,3,n/a,ornamentation
109,43,1/4,76,9 1/2,3,0,repetition
110,50,1/4,76,9 1/2,2,n/a,match
111,55,1/4,76,9 1/2,1,0,repetition
112,58,1/4,76,9 1/2,0,0,repetition
113,51,1/4,77,9 3/4,2,n/a,match
114,43,1/8,78,10,3,0,repetition
115,51,1/8,78,10,2,0,repetition
116,55,1/8,78,10,1,0,repetition
117,50,1/16,79,10 1/8,2,n/a,ornamentation
118,51,1/16,80,10 3/16,2,n/a,ornamentation
119,53,1/16,81,10 1/4,2,2,adaptation
120,51,1/16,82,10 5/16,1,n/a,ornamentation
121,53,1/32,83,10 3/8,1,2,adaptation
122,51,1/32,84,10 13/32,2,n/a,ornamentation
123,50,1/32,85,10 7/16,2,n/a,ornamentation
124,48,1/32,86,10 15/32,2,n/a,ornamentation
125,43,1/4,87,10 1/2,3,0,repetition
126,51,1/4,87,10 1/2,2,n/a,match
127,55,1/4,87,10 1/2,1,n/a,match
128,50,1/4,88,10 3/4,2,n/a,match
129,51,1/4,89,11,2,n/a,match
130,55,1/4,89,11,0,n/a,match
131,58,1/4,89,11,1,n/a,match
132,55,1/16,90,11 1/4,1,n/a,ornamentation
133,57,1/16,91,11 5/16,1,n/a,ornamentation
134,58,1/16,92,11 3/8,1,n/a,ornamentation
135,60,1/16,93,11 7/16,1,n/a,ornamentation
136,43,3/16,94,11 1/2,3,n/a,match
137,50,3/16,94,11 1/2,2,n/a,match
138,55,3/16,94,11 1/2,0,0,repetition
139,58,3/16,94,11 1/2,1,n/a,match
140,41,1/16,95,11 11/16,3,n/a,ornamentation
141,43,1/16,96,11 3/4,3,n/a,ornamentation
142,41,1/16,97,11 13/16,3,n/a,ornamentation
143,43,1/16,98,11 7/8,3,n/a,ornamentation
144,45,1/16,99,11 15/16,3,n/a,ornamentation
145,46,1/4,100,12,3,n/a,match
146,53,1/4,100,12,1,n/a,match
147,62,1/4,101,12 1/4,0,n/a,match
148,46,1/8,102,12 1/2,3,n/a,match
149,50,1/8,102,12 1/2,2,n/a,match
150,53,1/8,102,12 1/2,1,n/a,match
151,65,1/8,102,12 1/2,0,n/a,match
152,44,1/16,103,12 5/8,3,n/a,ornamentation
153,46,1/16,104,12 11/16,3,n/a,ornamentation
154,48,1/16,105,12 3/4,3,n/a,ornamentation
155,46,1/16,106,12 13/16,3,n/a,ornamentation
156,44,1/16,107,12 7/8,3,n/a,ornamentation
157,43,1/16,108,12 15/16,3,n/a,ornamentation
158,41,1/8,109,13,3,n/a,match
159,53,1/8,109,13,2,n/a,match
160,56,1/8,109,13,1,n/a,match
161,65,1/8,109,13,0,n/a,match
162,63,1/16,110,13 1/8,0,n/a,ornamentation
163,62,1/16,111,13 3/16,0,n/a,ornamentation
164,63,1/16,112,13 1/4,0,n/a,ornamentation
165,62,1/16,113,13 5/16,0,n/a,ornamentation
166,60,1/16,114,13 3/8,0,n/a,ornamentation
167,58,1/16,115,13 7/16,0,n/a,ornamentation
168,41,1/8,116,13 1/2,3,n/a,match
169,53,1/8,116,13 1/2,2,n/a,match
170,56,1/8,116,13 1/2,1,0,repetition
171,60,1/8,116,13 1/2,0,n/a,match
172,55,1/16,117,13 5/8,1,n/a,ornamentation
173,56,1/16,118,13 11/16,1,n/a,ornamentation
174,58,1/16,119,13 3/4,1,2,adaptation
175,56,1/16,120,13 13/16,0,n/a,ornamentation
176,58,1/32,121,13 7/8,0,2,adaptation
177,56,1/32,122,13 29/32,1,n/a,ornamentation
178,55,1/32,123,13 15/16,1,n/a,ornamentation
179,53,1/32,124,13 31/32,1,n/a,ornamentation
180,44,3/16,125,14,3,n/a,match
181,48,3/16,125,14,2,n/a,match
182,51,3/16,125,14,1,n/a,match
183,60,3/16,125,14,0,n/a,match
184,58,1/16,126,14 3/16,0,n/a,ornamentation
185,56,1/16,127,14 1/4,0,n/a,ornamentation
186,58,1/16,128,14 5/16,0,n/a,ornamentation
187,60,1/16,129,14 3/8,0,n/a,ornamentation
188,62,1/16,130,14 7/16,0,n/a,ornamentation
189,48,1/8,131,14 1/2,2,n/a,match
190,63,1/8,131,14 1/2,0,n/a,match
191,44,1/8,132,14 5/8,3,n/a,ornamentation
192,43,1/8,133,14 3/4,3,n/a,match
193,51,1/8,133,14 3/4,1,n/a,match
194,41,1/8,134,14 7/8,3,n/a,match
195,39,1/4,135,15,3,n/a,match
196,51,1/4,135,15,2,n/a,match
197,63,1/4,135,15,0,0,repetition
198,53,1/8,136,15 1/4,1,n/a,match
199,62,1/8,136,15 1/4,0,n/a,match
200,60,1/8,137,15 3/8,0,n/a,match
201,39,1/8,138,15 1/2,3,0,repetition
202,55,1/8,138,15 1/2,1,n/a,match
203,58,1/8,138,15 1/2,0,n/a,match
204,51,1/8,139,15 5/8,2,n/a,ornamentation
205,50,1/8,140,15 3/4,2,n/a,match
206,48,1/8,141,15 7/8,2,n/a,match
207,46,1/4,142,16,2,n/a,match
208,55,1/4,142,16,1,0,repetition
209,58,1/4,142,16,0,0,repetition
210,56,1/4,143,16 1/4,1,n/a,match
211,39,1/4,144,16 1/2,3,n/a,match
212,46,1/4,144,16 1/2,2,0,repetition
213,58,1/4,144,16 1/2,1,n/a,match
214,51,1/4,145,16 3/4,1,n/a,match
215,55,1/4,145,16 3/4,0,n/a,match
216,41,1/4,146,17,3,n/a,match
217,56,1/4,146,17,1,n/a,match
218,60,1/4,146,17,0,n/a,match
219,53,1/4,147,17 1/4,2,n/a,match
220,43,1/4,148,17 1/2,3,n/a,match
221,50,1/4,148,17 1/2,2,n/a,match
222,55,1/4,148,17 1/2,1,n/a,match
223,58,1/4,148,17 1/2,0,n/a,match
224,51,1/4,149,17 3/4,2,n/a,match
225,44,1/4,150,18,3,n/a,match
226,51,1/4,150,18,0,n/a,match
227,48,1/4,151,18 1/4,2,n/a,match
228,41,1/8,152,18 1/2,3,n/a,match
229,48,1/8,152,18 1/2,2,0,repetition
230,56,1/8,152,18 1/2,0,n/a,match
231,50,1/32,153,18 5/8,2,n/a,ornamentation
232,48,1/32,154,18 21/32,2,n/a,ornamentation
233,46,1/32,155,18 11/16,2,n/a,ornamentation
234,48,1/32,156,18 23/32,2,n/a,ornamentation
235,50,1/4,157,18 3/4,2,n/a,match
236,43,1/8,158,19,3,n/a,match
237,55,1/8,158,19,0,n/a,match
238,46,1/8,159,19 1/8,2,n/a,match
239,51,1/8,160,19 1/4,2,n/a,match
240,45,1/8,161,19 3/8,3,n/a,ficta
241,46,1/16,162,19 1/2,3,n/a,match
242,50,1/16,162,19 1/2,2,n/a,match
243,51,1/16,163,19 9/16,2,n/a,ornamentation
244,53,1/16,164,19 5/8,2,n/a,ornamentation
245,50,1/16,165,19 11/16,2,n/a,ornamentation
246,48,1/16,166,19 3/4,3,n/a,match
247,51,1/16,166,19 3/4,2,n/a,match
248,50,1/16,167,19 13/16,2,n/a,ornamentation
249,51,1/32,168,19 7/8,2,n/a,ornamentation
250,50,1/32,169,19 29/32,2,n/a,ornamentation
251,51,1/32,170,19 15/16,2,n/a,ornamentation
252,53,1/32,171,19 31/32,2,n/a,ornamentation
253,48,1/8,172,20,3,0,repetition
254,51,1/8,172,20,2,0,repetition
255,46,1/8,173,20 1/8,3,n/a,match
256,50,1/8,173,20 1/8,2,n/a,match
257,46,1/8,174,20 1/4,3,n/a,match
258,48,1/8,174,20 1/4,2,n/a,match
259,46,1/8,175,20 3/8,2,n/a,match
260,46,1/8,176,20 1/2,3,0,repetition
261,48,1/8,176,20 1/2,2,n/a,match
262,45,1/8,177,20 5/8,3,n/a,ornamentation
263,46,1/16,178,20 3/4,3,0,repetition
264,45,1/16,179,20 13/16,3,n/a,ornamentation
265,43,1/16,180,20 7/8,3,n/a,ornamentation
266,45,1/16,181,20 15/16,3,n/a,ornamentation
267,46,1/8,182,21,3,n/a,match
268,46,1/8,182,21,2,n/a,match
269,53,1/8,182,21,1,n/a,match
270,50,1/16,183,21 1/8,1,n/a,ornamentation
271,51,1/16,184,21 3/16,1,n/a,ornamentation
272,53,1/16,185,21 1/4,1,n/a,ornamentation
273,50,1/16,186,21 5/16,1,n/a,ornamentation
274,51,1/16,187,21 3/8,1,n/a,ornamentation
275,53,1/16,188,21 7/16,1,n/a,ornamentation
276,43,1/4,189,21 1/2,3,n/a,match
277,55,1/4,189,21 1/2,1,n/a,match
278,58,1/4,189,21 1/2,0,n/a,match
279,46,1/4,190,21 3/4,2,n/a,match
280,41,3/8,191,22,3,n/a,match
281,53,3/8,191,22,2,n/a,match
282,56,3/8,191,22,1,n/a,match
283,60,3/8,191,22,0,n/a,match
284,51,1/8,192,22 3/8,2,n/a,ornamentation
285,50,1/8,193,22 1/2,2,n/a,match
286,58,1/8,193,22 1/2,1,n/a,match
287,62,1/8,193,22 1/2,0,n/a,match
288,60,1/16,194,22 5/8,0,n/a,ornamentation
289,58,1/16,195,22 11/16,0,n/a,ornamentation
290,57,1/16,196,22 3/4,0,n/a,ornamentation
291,58,1/16,197,22 13/16,0,n/a,ornamentation
292,60,1/16,198,22 7/8,0,n/a,ornamentation
293,62,1/16,199,22 15/16,0,n/a,ornamentation
294,48,1/4,200,23,2,n/a,match
295,55,1/4,200,23,1,n/a,match
296,63,1/4,200,23,0,n/a,match
297,56,1/4,201,23 1/4,1,n/a,match
298,53,1/4,202,23 1/2,2,n/a,match
299,60,1/4,202,23 1/2,0,n/a,match
300,53,1/4,203,23 3/4,1,n/a,match
301,46,1/8,204,24,2,n/a,match
302,62,1/8,204,24,0,n/a,match
303,60,1/8,205,24 1/8,0,n/a,ornamentation
304,58,1/8,206,24 1/4,1,n/a,match
305,62,1/8,206,24 1/4,0,0,repetition
306,63,1/8,207,24 3/8,0,n/a,match
307,56,1/4,208,24 1/2,1,n/a,match
308,65,1/4,208,24 1/2,0,n/a,match
309,58,1/8,209,24 3/4,1,n/a,match
310,67,1/8,209,24 3/4,0,n/a,match
311,60,1/8,210,24 7/8,1,n/a,ornamentation
312,58,1/8,211,25,1,0,repetition
313,67,1/8,211,25,0,0,repetition
314,56,1/8,212,25 1/8,1,n/a,match
315,65,1/8,212,25 1/8,0,2,adaptation
316,44,1/8,213,25 1/4,3,n/a,match
317,55,1/8,213,25 1/4,1,n/a,match
318,65,1/8,213,25 1/4,0,n/a,match
319,53,1/8,214,25 3/8,1,n/a,match
320,46,1/8,215,25 1/2,3,n/a,match
321,55,1/8,215,25 1/2,1,n/a,match
322,65,1/8,215,25 1/2,0,0,repetition
323,64,1/16,216,25 5/8,0,n/a,ornamentation
324,62,1/16,217,25 11/16,0,n/a,ornamentation
325,48,1/8,218,25 3/4,3,n/a,match
326,64,1/8,218,25 3/4,0,n/a,match
327,62,1/16,219,25 7/8,0,n/a,ornamentation
328,64,1/16,220,25 15/16,0,n/a,ornamentation
329,41,1/4,221,26,3,n/a,match
330,53,1/4,221,26,1,n/a,match
331,65,1/4,221,26,0,n/a,match
332,46,1/8,222,26 1/4,3,n/a,match
333,55,1/8,223,26 3/8,1,n/a,match
334,44,1/8,224,26 1/2,3,n/a,match
335,56,1/8,224,26 1/2,1,n/a,match
336,53,1/8,225,26 5/8,1,n/a,match
337,46,1/16,226,26 3/4,3,n/a,match
338,55,1/16,226,26 3/4,1,n/a,match
339,53,1/16,227,26 13/16,1,n/a,ornamentation
340,51,1/16,228,26 7/8,1,n/a,ornamentation
341,55,1/16,229,26 15/16,1,n/a,ornamentation
342,46,1/8,230,27,3,0,repetition
343,53,1/8,230,27,1,n/a,match
344,55,1/8,231,27 1/8,1,n/a,ornamentation
345,44,1/8,232,27 1/4,3,n/a,match
346,56,1/8,232,27 1/4,1,n/a,match
347,43,1/8,233,27 3/8,3,n/a,match
348,41,1/8,234,27 1/2,3,n/a,match
349,56,1/8,234,27 1/2,1,0,repetition
350,58,1/32,235,27 5/8,1,n/a,ornamentation
351,56,1/32,236,27 21/32,1,n/a,ornamentation
352,55,1/32,237,27 11/16,1,n/a,ornamentation
353,56,1/32,238,27 23/32,1,n/a,ornamentation
354,39,1/4,239,27 3/4,3,n/a,match
355,55,1/4,239,27 3/4,1,n/a,match
356,43,1/8,240,28,3,n/a,match
357,55,1/8,240,28,1,0,repetition
358,63,1/8,240,28,0,n/a,match
359,53,1/8,241,28 1/8,1,n/a,match
360,44,1/8,242,28 1/4,3,1,adaptation
361,51,1/8,242,28 1/4,1,n/a,match
362,43,1/8,243,28 3/8,3,n/a,ornamentation
363,41,1/8,244,28 1/2,3,n/a,match
364,51,1/8,244,28 1/2,1,0,repetition
365,65,1/8,244,28 1/2,0,n/a,match
366,50,1/16,245,28 5/8,1,n/a,ornamentation
367,48,1/16,246,28 11/16,1,n/a,ornamentation
368,41,1/8,247,28 3/4,3,0,repetition
369,50,1/8,247,28 3/4,1,n/a,match
370,65,1/8,247,28 3/4,0,0,repetition
371,48,1/16,248,28 7/8,1,n/a,ornamentation
372,50,1/16,249,28 15/16,1,n/a,ornamentation
373,39,1/4,250,29,3,n/a,match
374,46,1/4,250,29,2,n/a,match
375,51,1/4,250,29,1,n/a,match
376,67,1/4,250,29,0,n/a,match
377,58,1/4,251,29 1/4,2,n/a,match
378,56,1/8,252,29 1/2,2,n/a,match
379,65,1/8,252,29 1/2,0,n/a,match
380,55,1/16,253,29 5/8,2,n/a,ornamentation
381,56,1/16,254,29 11/16,2,n/a,ornamentation
382,58,1/8,255,29 3/4,2,n/a,match
383,62,1/8,255,29 3/4,0,3,adaptation
384,60,1/8,256,29 7/8,2,n/a,ornamentation
385,58,1/4,257,30,2,n/a,match
386,67,1/4,257,30,0,0,repetition
387,56,1/8,258,30 1/4,2,n/a,match
388,58,1/8,258,30 1/4,1,n/a,match
389,65,1/8,258,30 1/4,0,n/a,match
390,55,1/8,259,30 3/8,2,n/a,match
391,63,1/8,259,30 3/8,0,n/a,match
392,53,1/4,260,30 1/2,2,n/a,match
393,56,1/4,260,30 1/2,1,n/a,match
394,68,1/4,260,30 1/2,0,n/a,match
395,39,1/8,261,30 3/4,3,n/a,match
396,51,1/8,261,30 3/4,2,n/a,match
